route,plan,plan_low,plan_mid,sampled_direct_low,sampled_direct_peak,delta_low_vs_off,delta_low_vs_peak,still_holds
"北京-喀什","p-bjks-1","1115","1185","890","1506","-225","391","仅旺季成立"
"北京-喀什","p-bjks-2","727","727","890","1506","163","779","淡季也成立"
"北京-喀什","p-bjks-3","1495","1580","890","1506","-605","11","仅旺季成立"
"北京-乌鲁木齐","p-bjwl-1","890","890","620","1630","-270","740","仅旺季成立"
"北京-乌鲁木齐","p-bjwl-2","883","953","620","1630","-263","747","仅旺季成立"
"上海-昆明","p-shkm-1","720","720","300","976","-420","256","仅旺季成立"
"上海-昆明","p-shkm-2","593","673","300","976","-293","383","仅旺季成立"
"成都-乌鲁木齐","P0 未采到直飞基准，无法重算"
"南京-喀什","p-njks-1","862","1062","1082","","220","220","淡季也成立"
"南京-喀什","p-njks-2","1085","1285","1082","","-3","-3","不成立"
"杭州-喀什","p-hzks-1","1020","1360","699","1500","-321","480","仅旺季成立"
"成都-三亚","p-cdsy-1","519","779","419","1100","-100","581","仅旺季成立"
"北京-西双版纳","p-bjxbn-1","778","1114","550","1850","-228","1072","仅旺季成立"
"北京-西双版纳","p-bjxbn-2","830","1190","550","1850","-280","1020","仅旺季成立"
