od,transfer,rail_low,air_low,air_note,hybrid_low,direct_off,direct_peak,delta_off,delta_peak,verdict
"北京-拉萨","兰州","272","1158","天巡单程","1430","800","3151","-630","1721","仅旺季成立"
"上海-拉萨","成都","382","1266","天巡单程","1648","680","3354","-968","1706","仅旺季成立"
"广州-喀什","成都","283","699","春秋促销(常规900)","982","961","2350","-21","1368","仅旺季成立"
"深圳-乌鲁木齐","广州","24","837","复用广州-乌鲁木齐基准","861","910","","49","","仅淡季成立(无旺季数据)"
"北京-丽江","成都","351","200","携程1.2折特价(常规335-682)","551","480","1369","-71","818","仅旺季成立"
"上海-西双版纳","杭州","38","520","复用杭州-西双版纳基准","558","400","","-158","","不成立(草案)"
"成都-哈尔滨","北京","351","429","天巡单程","780","780","","0","","不成立(草案)"
"杭州-乌鲁木齐","南京","55","711","天巡单程","766","480","","-286","","不成立(草案)"
"北京-三亚","武汉","242","300","携程1.4折(天巡420)","542","550","2000","8","1458","淡旺季均成立"
"上海-哈尔滨","长春","331","70","高铁二等估(rail-fare，全程火车组合)","401","370","1143","-31","742","仅旺季成立"
"广州-西双版纳","南宁","117","499","天巡单程","616","500","","-116","","不成立(草案)"
"北京-大理","成都","351","370","Trip.com直飞","721","590","1440","-131","719","仅旺季成立"
"上海-喀什","西安","281","661","复用西安-喀什基准","942","840","2602","-102","1660","仅旺季成立"
"西安-喀什","兰州","115","280","春秋直飞","395","661","","266","","仅淡季成立(无旺季数据)"
"重庆-拉萨","成都","61","1266","复用成都→拉萨(候选举 cover)","1327","450","1991","-877","664","仅旺季成立"
"广州-乌鲁木齐","成都","283","450","复用成都-乌鲁木齐基准","733","837","","104","","仅淡季成立(无旺季数据)"
"深圳-丽江","广州","24","571","天巡单程","595","400","","-195","","不成立(草案)"
"广州-哈尔滨","南京","261","500","携程中转1.3折(天巡519)","761","650","1298","-111","537","仅旺季成立"
"广州-拉萨","柳州","95","2394","无直飞·中转价(候选质量差,如实记)","2489","630","2500","-1859","11","仅旺季成立"
"重庆-厦门","赣州","212","70","无直飞·高铁3h(全程火车组合)","282","481","","199","","仅淡季成立(无旺季数据)"
"西安-丽江","成都","143","200","复用成都→丽江","343","420","","77","","仅淡季成立(无旺季数据)"
"杭州-西双版纳","长沙","169","479","天巡单程","648","520","1200","-128","552","仅旺季成立"
